date	title	artist	rank
12/5/1970	And The Grass Won't Pay No Mind	Mark Lindsay	52.00
12/5/1970	Beaucoups Of Blues	Ringo Starr	87.00
12/5/1970	Can't Get Over Losing You	Donnie Elbert	98.00
12/5/1970	Cry Me A River	Joe Cocker	30.00
12/5/1970	Green-Eyed Lady	Sugarloaf	29.00
12/5/1970	I Don't Wanna Cry	Ronnie Dyson	65.00
12/5/1970	It Don't Matter To Me	Bread	25.00
12/5/1970	Simply Call It Love	Gene Chandler	83.00
12/5/1970	Somebody's Been Sleeping	100 Proof Aged in Soul	28.00
12/5/1970	Stand By Me	David & Jimmy Ruffin	61.00
12/5/1970	Super Bad (Part 1 & Part 2)	James Brown	32.00
12/5/1970	Sweet Sweetheart	Bobby Vee	88.00
12/5/1970	Sweetheart	Engelbert Humperdinck	53.00
12/5/1970	This Is My Love Song	The Intruders	99.00
12/5/1970	Where Have All Our Heroes Gone	Bill Anderson	93.00
12/12/1970	A Womans' Way	Rozetta Johnson	94.00
12/12/1970	Carolina In My Mind	Crystal Mansion Featuring Johnny Caswell	73.00
12/12/1970	I Am Somebody Part II	Johnnie Taylor	58.00
12/12/1970	Indiana Wants Me	R. Dean Taylor	24.00
12/12/1970	Lady Love	The Klowns	95.00
12/12/1970	Part Time Love	Ann Peebles	64.00
12/12/1970	So Close	Jake Holmes	57.00
12/12/1970	Stoned Cowboy	Fantasy	80.00
12/12/1970	Think About Your Children	Mary Hopkin	87.00
12/12/1970	Where Did All The Good Times Go	Dennis Yost And The Classics IV	69.00
12/19/1970	As The Years Go By	Mashmakhan	58.00
12/19/1970	Chains And Things	B.B. King	50.00
12/19/1970	"Don't Try To Lay No Boogie Woogie On The ""King Of Rock & Roll"""	CROW	67.00
12/19/1970	Engine Number 9	Wilson Pickett	34.00
12/19/1970	Heed The Call	Kenny Rogers & The First Edition	48.00
12/19/1970	Keep On Loving Me (You'll See The Change)	Bobby Bland	89.00
12/19/1970	Let's Work Together	Canned Heat	57.00
12/19/1970	Satin Red And Black Velvet Woman	Dave Mason	97.00
12/19/1970	"See Me, Feel Me"	The Who	43.00
12/19/1970	Whiter Shade Of Pale	R.B. Greaves	82.00
12/19/1970	Who Needs Ya	Steppenwolf	66.00
12/19/1970	Wrap It Up	Archie Bell & The Drells	93.00
12/19/1970	Yellow River	Christie	47.00
12/26/1970	After The Feeling Is Gone	Five Flights Up	89.00
12/26/1970	Big Leg Woman (With A Short Short Mini Skirt)	"Israel ""Popper Stopper"" Tolbert"	65.00
12/26/1970	Carolina In My Mind	James Taylor	67.00
12/26/1970	Coal Miner's Daughter	Loretta Lynn	83.00
12/26/1970	Everything Is Going To Be Alright	Teegarden & Van Winkle	84.00
12/26/1970	Fire And Rain	James Taylor	35.00
12/26/1970	Free To Carry On	The Sandpipers	94.00
