date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-01-01,Gotta Man,Eve,97.0,spotify:track:5GDzpCJAhKjfzMEiXpYdhl,0.165,0.8,264733.0,0.867,0.000352,5.0,0.114,-4.001,0.133,90.53,4.0,0.0
2000-01-01,NAStradamus,Nas,100.0,spotify:track:5IUceLAshLX0OSTAdSLcPv,0.000484,0.823,251933.0,0.62,0.0,8.0,0.494,-8.002,0.329,90.57,4.0,1.0
2000-01-01,Steam,Ty Herndon,99.0,spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,0.0497,0.676,216693.0,0.738,2.7e-06,6.0,0.0784,-6.693,0.0262,101.944,4.0,1.0
2000-01-01,Gotta Man,Eve,97.0,spotify:track:5GDzpCJAhKjfzMEiXpYdhl,0.165,0.8,264733.0,0.867,0.000352,5.0,0.114,-4.001,0.133,90.53,4.0,0.0
2000-01-01,NAStradamus,Nas,100.0,spotify:track:5IUceLAshLX0OSTAdSLcPv,0.000484,0.823,251933.0,0.62,0.0,8.0,0.494,-8.002,0.329,90.57,4.0,1.0
2000-01-01,Steam,Ty Herndon,99.0,spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,0.0497,0.676,216693.0,0.738,2.7e-06,6.0,0.0784,-6.693,0.0262,101.944,4.0,1.0
2000-01-08,Deck The Halls,SHeDAISY,61.0,spotify:track:3MAQlKrBxFN5QXR7SqxYQh,0.0151,0.568,229773.0,0.828,2.05e-05,1.0,0.167,-7.123,0.0403,118.836,4.0,0.0
2000-01-08,I Love You,Martina McBride,71.0,spotify:track:4GwbSrCJFRze2tK4H12Zew,0.317,0.431,227613.0,0.657,0.0,5.0,0.0893,-5.12,0.0304,142.527,4.0,1.0
2000-01-08,All I Want For Christmas Is You,Mariah Carey,83.0,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.164,0.336,241107.0,0.627,0.0,7.0,0.0708,-7.463,0.0384,150.273,4.0,1.0
2000-01-08,Deck The Halls,SHeDAISY,61.0,spotify:track:3MAQlKrBxFN5QXR7SqxYQh,0.0151,0.568,229773.0,0.828,2.05e-05,1.0,0.167,-7.123,0.0403,118.836,4.0,0.0
2000-01-08,I Love You,Martina McBride,71.0,spotify:track:4GwbSrCJFRze2tK4H12Zew,0.317,0.431,227613.0,0.657,0.0,5.0,0.0893,-5.12,0.0304,142.527,4.0,1.0
2000-01-15,Get Gone,Ideal,44.0,spotify:track:0CofintZCm8MhxiOMrauiT,0.435,0.702,275173.0,0.52,0.0,10.0,0.299,-8.581,0.0725,120.005,4.0,1.0
2000-01-15,Give You What You Want (Fa Sure),Chico DeBarge,94.0,spotify:track:2ZDxfuXmTIRCdXChbtHpW9,0.0107,0.85,280040.0,0.675,0.0,10.0,0.0914,-7.915,0.0442,131.996,4.0,0.0
2000-01-15,The Greatest Romance Ever Sold,Prince,99.0,spotify:track:3A8pzjcWgAHry1Ix19z7ip,0.37,0.844,333227.0,0.457,4.88e-06,8.0,0.0768,-6.859,0.0422,90.022,4.0,1.0
2000-01-15,This Gift,98 Degrees,79.0,spotify:track:3ggPv9plkk3a5EfI4D9g2L,0.476,0.622,246933.0,0.541,0.0,0.0,0.0819,-8.643,0.0331,86.963,4.0,1.0
2000-01-15,Get Gone,Ideal,44.0,spotify:track:0CofintZCm8MhxiOMrauiT,0.435,0.702,275173.0,0.52,0.0,10.0,0.299,-8.581,0.0725,120.005,4.0,1.0
2000-01-15,Give You What You Want (Fa Sure),Chico DeBarge,94.0,spotify:track:2ZDxfuXmTIRCdXChbtHpW9,0.0107,0.85,280040.0,0.675,0.0,10.0,0.0914,-7.915,0.0442,131.996,4.0,0.0
2000-01-15,The Greatest Romance Ever Sold,Prince,99.0,spotify:track:3A8pzjcWgAHry1Ix19z7ip,0.37,0.844,333227.0,0.457,4.88e-06,8.0,0.0768,-6.859,0.0422,90.022,4.0,1.0
